mes_referencia;ano_referencia;qtd_inicial_amox;qtd_inicial_bar_praia;nome_bebida;id;qtd_inicial_bar_hotel
1;2026;122.36694782960186;7.021191117635729;Tequila Blanco;1;18.96720674152658
1;2026;136.00874925325408;29.268169356640634;Casamigos Blanco;2;6.806619697697448
1;2026;165.588675048048;15.162608346817873;Martini Fiero;3;15.76640164057332
1;2026;82.29427822527347;15.593917233863037;Whispering Angel Rosé;4;13.276259617883627
1;2026;157.3321946292404;5.598802596442461;Vodka Premium;5;13.062955289076255
2;2026;193.87599494353412;29.97610256044404;Tequila Blanco;6;19.98813743404881
2;2026;162.93373552281338;23.513076172724467;Casamigos Blanco;7;7.415341173181069
2;2026;77.02460708418891;10.233742866317996;Martini Fiero;8;17.88980905515246
2;2026;134.45923660432726;25.015000309996985;Whispering Angel Rosé;9;11.77666384446495
2;2026;91.15656658936285;16.67045603468517;Vodka Premium;10;19.035098715758174
3;2026;110.45607720119526;10.417083806329847;Tequila Blanco;11;10.85689298767696
3;2026;158.84072149497888;7.991352830849858;Casamigos Blanco;12;12.044995052780017
3;2026;71.43480399520644;23.915230317719374;Martini Fiero;13;7.9103342179016405
3;2026;196.80166955593614;17.99598333290566;Whispering Angel Rosé;14;14.116056010986574
3;2026;141.025041466517;14.936217747235009;Vodka Premium;15;5.005718501832437
4;2026;141.8581730988718;14.410029531651038;Tequila Blanco;16;8.998287722575721
4;2026;186.68621918385713;6.165027160262486;Casamigos Blanco;17;19.730348371730067
4;2026;78.84379910829136;7.884833739297801;Martini Fiero;18;10.34101681081216
4;2026;107.39854169223955;29.4345730545775;Whispering Angel Rosé;19;12.417055339398953
4;2026;185.8595955511506;22.04135703969949;Vodka Premium;20;13.427153459528892
5;2026;140.2381338495772;24.932365653774312;Tequila Blanco;21;5.9104428898501356
5;2026;62.57960157098142;9.096949347592059;Casamigos Blanco;22;17.002581473124515
5;2026;98.09511877488805;13.396848378721398;Martini Fiero;23;14.951984708196813
5;2026;163.19076577171938;9.665060680700151;Whispering Angel Rosé;24;12.054473927190713
5;2026;135.25066641017392;12.62851870680103;Vodka Premium;25;6.0906661893041845
6;2026;148.19863480905215;26.212825920735913;Tequila Blanco;26;14.415692602140151
6;2026;148.56586489417919;27.064194614699744;Casamigos Blanco;27;18.733883317277293
6;2026;52.01215892626574;26.63332111663254;Martini Fiero;28;13.887543166272701
6;2026;93.82316023713732;26.675303452129633;Whispering Angel Rosé;29;5.121730666108057
6;2026;127.66121473989914;15.871417188223631;Vodka Premium;30;7.334959142797911
7;2026;85.97197944018225;8.401539041894308;Tequila Blanco;31;9.492402021430923
7;2026;143.0025681752747;24.006797817542946;Casamigos Blanco;32;15.448109524339905
7;2026;153.07932667990315;5.485647279059808;Martini Fiero;33;11.016805480238304
7;2026;143.156885355552;26.43407422108859;Whispering Angel Rosé;34;9.578064456871498
7;2026;139.72581051176894;27.417038730915937;Vodka Premium;35;6.995836231350202
8;2026;51.6071615299712;11.850978773128329;Tequila Blanco;36;18.2050513930888
8;2026;112.3780850609123;26.674849173711976;Casamigos Blanco;37;9.610561557564331
8;2026;126.85223257435368;25.321875393425735;Martini Fiero;38;15.787202649393073
8;2026;157.09168697146157;6.826308976478677;Whispering Angel Rosé;39;6.888229426975236
8;2026;104.93602654882352;13.587967661913535;Vodka Premium;40;14.480490552380829
9;2026;113.7149880140123;26.765745638257886;Tequila Blanco;41;14.351203427456419
9;2026;193.35149211151537;11.730244757724202;Casamigos Blanco;42;11.781083185107757
9;2026;127.68806244040972;28.827874287590014;Martini Fiero;43;11.635260739243888
9;2026;74.70376220284062;24.92756061655111;Whispering Angel Rosé;44;19.538283728328732
9;2026;61.75774007139901;19.79977690451809;Vodka Premium;45;6.30227071356206
10;2026;97.394057574203;7.030342611333666;Tequila Blanco;46;19.706564454405445
10;2026;176.9091732354612;7.834376425817112;Casamigos Blanco;47;9.535575854941433
10;2026;96.33670532455866;11.63729160392246;Martini Fiero;48;9.869070040308475
10;2026;98.93214304312357;29.489093448535872;Whispering Angel Rosé;49;6.276113760695268
10;2026;161.21001793221865;18.211636275010193;Vodka Premium;50;5.472642291721509
11;2026;176.04137231606666;7.48266130704839;Tequila Blanco;51;9.451443778187656
11;2026;146.51928604591635;24.88354245953752;Casamigos Blanco;52;9.762119741201664
11;2026;72.61219288085229;9.98366390688086;Martini Fiero;53;11.717841594639452
11;2026;120.7467129568062;24.48454968174258;Whispering Angel Rosé;54;15.736043494578682
11;2026;165.69100693815557;10.083078040377;Vodka Premium;55;9.682136346383825
12;2026;144.48060863515687;20.80520395417585;Tequila Blanco;56;18.85414216642363
12;2026;197.91214273221055;25.04855287908047;Casamigos Blanco;57;17.040224039335904
12;2026;61.16599381061357;13.831877158028373;Martini Fiero;58;15.585261196959216
12;2026;183.90417654462425;18.377404579421814;Whispering Angel Rosé;59;6.356483561119505
12;2026;124.93681246812407;25.927662470340398;Vodka Premium;60;17.834420409749534
